epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,113.002,1.4654,3.21772,0.96949,0.94052,1,0.9925,0.71927,1.79055,3.1762,1.09448,0.00045352,0.00045352,0.00045352
140,113.801,1.37241,2.94138,0.94822,0.94052,1,0.9925,0.71927,1.79055,3.1762,1.09448,0.00044956,0.00044956,0.00044956
141,114.64,1.46674,3.03542,0.95415,0.93937,0.99973,0.9925,0.73579,1.77667,3.17475,1.10017,0.0004456,0.0004456,0.0004456
142,115.514,1.57189,3.23025,1.00617,0.93937,0.99973,0.9925,0.73579,1.77667,3.17475,1.10017,0.00044164,0.00044164,0.00044164
143,116.39,1.51567,2.93623,0.95694,0.93971,0.99382,0.9925,0.70771,1.81982,3.21975,1.10852,0.00043768,0.00043768,0.00043768
144,117.256,1.48537,3.26979,0.9848,0.93971,0.99382,0.9925,0.70771,1.81982,3.21975,1.10852,0.00043372,0.00043372,0.00043372
145,118.159,1.48068,2.89953,0.94097,0.93188,1,0.9925,0.68079,1.89695,3.20983,1.12529,0.00042976,0.00042976,0.00042976
146,118.958,1.49759,3.02529,0.98595,0.93188,1,0.9925,0.68079,1.89695,3.20983,1.12529,0.0004258,0.0004258,0.0004258
147,119.819,1.52332,3.21674,0.97993,0.97034,0.9697,0.9925,0.64251,2.09442,3.23284,1.15193,0.00042184,0.00042184,0.00042184
148,120.607,1.50625,3.10535,0.96922,0.97034,0.9697,0.9925,0.64251,2.09442,3.23284,1.15193,0.00041788,0.00041788,0.00041788
149,121.367,1.49111,3.03387,0.97217,0.9728,0.9697,0.9925,0.59232,2.2118,3.26016,1.19464,0.00041392,0.00041392,0.00041392
150,122.108,1.58167,2.94273,0.96955,0.9728,0.9697,0.9925,0.59232,2.2118,3.26016,1.19464,0.00040996,0.00040996,0.00040996
151,122.903,1.58136,3.23265,1.00083,0.96137,0.9697,0.9925,0.59714,2.21495,3.26548,1.21813,0.000406,0.000406,0.000406
152,123.774,1.46796,3.01815,0.93411,0.96137,0.9697,0.9925,0.59714,2.21495,3.26548,1.21813,0.00040204,0.00040204,0.00040204
153,124.616,1.37402,3.08794,0.93594,0.95519,0.97504,0.9925,0.61515,2.14059,3.2752,1.21147,0.00039808,0.00039808,0.00039808
154,125.395,1.50818,3.01997,0.94781,0.95519,0.97504,0.9925,0.61515,2.14059,3.2752,1.21147,0.00039412,0.00039412,0.00039412
155,126.254,1.48451,3.19192,0.96675,0.95535,0.97975,0.9825,0.64777,2.01203,3.31475,1.18708,0.00039016,0.00039016,0.00039016
156,127.062,1.37918,2.67222,0.91443,0.95535,0.97975,0.9825,0.64777,2.01203,3.31475,1.18708,0.0003862,0.0003862,0.0003862
157,127.918,1.42082,3.02864,0.95496,0.95479,0.97989,0.98,0.66937,1.9028,3.18845,1.15938,0.00038224,0.00038224,0.00038224
158,128.884,1.48344,2.89954,0.96002,0.95479,0.97989,0.98,0.66937,1.9028,3.18845,1.15938,0.00037828,0.00037828,0.00037828
159,129.654,1.46075,3.02584,0.94596,0.95145,0.98492,0.97,0.68059,1.80002,3.08749,1.13995,0.00037432,0.00037432,0.00037432
160,130.414,1.55329,3.03239,0.96204,0.95145,0.98492,0.97,0.68059,1.80002,3.08749,1.13995,0.00037036,0.00037036,0.00037036
161,131.219,1.4914,2.96224,0.95461,0.95033,0.99046,0.97,0.6523,1.82834,3.04297,1.14663,0.0003664,0.0003664,0.0003664
162,131.989,1.45223,2.79136,0.91488,0.95033,0.99046,0.97,0.6523,1.82834,3.04297,1.14663,0.00036244,0.00036244,0.00036244
163,132.76,1.443,2.71593,0.93527,0.9481,0.99486,0.975,0.6457,1.88789,2.98826,1.14913,0.00035848,0.00035848,0.00035848
164,133.578,1.53415,2.89374,1.00375,0.9481,0.99486,0.975,0.6457,1.88789,2.98826,1.14913,0.00035452,0.00035452,0.00035452
165,134.487,1.48717,2.92231,0.99419,0.94948,0.99973,0.975,0.65147,1.94311,2.95849,1.16187,0.00035056,0.00035056,0.00035056
166,135.27,1.4122,2.72157,0.92526,0.94948,0.99973,0.975,0.65147,1.94311,2.95849,1.16187,0.0003466,0.0003466,0.0003466
167,135.946,1.48129,2.86218,0.97611,0.94971,1,0.9725,0.59044,2.09275,2.98028,1.19497,0.00034264,0.00034264,0.00034264
168,136.485,1.48729,3.14454,0.97412,0.94971,1,0.9725,0.59044,2.09275,2.98028,1.19497,0.00033868,0.00033868,0.00033868
169,137.034,1.2821,2.57609,0.89872,0.95182,0.99932,0.9725,0.5757,2.15099,3.09733,1.20972,0.00033472,0.00033472,0.00033472
170,137.567,1.35562,2.94468,0.94943,0.95182,0.99932,0.9725,0.5757,2.15099,3.09733,1.20972,0.00033076,0.00033076,0.00033076
171,138.277,1.53242,2.92914,0.96741,0.95168,0.99825,0.96736,0.56568,2.17384,3.20185,1.21595,0.0003268,0.0003268,0.0003268
172,139.102,1.32961,3.0203,0.94479,0.95168,0.99825,0.96736,0.56568,2.17384,3.20185,1.21595,0.00032284,0.00032284,0.00032284
